00188             00600C         X,6191800014954,0,1,1,1,0,0,22,22
00188             00600O         X,6191800065321,0,33,3,3,0,0,21,21
00188             00600O         X,6191800065321,0,33,0,0,0,0,22,22
00340             00600W         X,6191800029897,0,8,2,2,0,0,21,21
00340             00600W         X,6191800029897,0,8,4,4,0,0,22,22
00340             006012         X,6191800030091,0,4,1,1,0,0,21,21
00340             006012         X,6191800030091,0,4,2,2,0,0,22,22
00147             002003         X,6191800012042,0,0,0,0,0,0,21,21
00147             002003         X,6191800012042,0,0,0,0,0,0,22,22
00415             00300S         X,6191800052079,0,2,0,0,0,0,21,21
00415             00300S         X,6191800052079,0,2,1,1,0,0,22,22
211096            00100A         X,6190000008961,0,37,0,0,0,0,21,21
211096            00100A         X,6190000008961,0,21,0,0,0,0,22,22
202113            00100Z         X,6190000045171,0,0,0,0,0,0,21,21
202113            00100Z         X,6190000045171,0,0,0,0,0,0,22,22
00340             006013         X,6191800029996,0,29,1,1,0,0,21,21
00340             006013         X,6191800029996,0,29,5,5,0,0,22,22
00415             004004         X,6191800052178,0,2,1,1,0,0,21,21
00415             004004         X,6191800052178,0,0,3,4,0,0,22,22
00340             007003         X,6191800029804,0,55,0,0,0,0,21,21
00340             007003         X,6191800029804,0,55,5,5,0,0,22,22
00379             002005         X,6191800023680,0,0,6,6,0,0,21,21
00379             002005         X,6191800023680,0,0,2,2,0,0,22,22
00340             007004         X,6191800030206,0,24,1,1,0,0,21,21
00340             007004         X,6191800030206,0,24,2,2,0,0,22,22
00415             00400S         X,6191800052086,0,2,1,1,0,0,21,21
00415             00400S         X,6191800052086,0,2,2,2,0,0,22,22
00188             00600Q         X,6191800120624,0,1,3,3,0,0,21,21
00188             00600Q         X,6191800120624,0,1,5,5,0,0,22,22
00384             002004         X,6191800033184,0,1,1,1,0,0,21,21
00384             002004         X,6191800033184,0,1,5,6,0,0,22,22
00188             006015         X,6191800014718,0,1,1,1,0,0,21,21
00188             006015         X,6191800014718,0,1,0,0,0,0,22,22
00340             00700W         X,6191800029903,0,34,0,0,0,0,21,21
00340             00700W         X,6191800029903,0,34,1,1,0,0,22,22
00384             003004         X,6191800033191,0,120,1,1,0,0,21,21
00384             003004         X,6191800033191,0,88,4,4,0,0,22,22
00188             00602N         X,6191800153165,0,5,2,3,0,0,21,21
00188             00602N         X,6191800153165,0,5,6,6,0,0,22,22
00188             007002         X,6191800120556,0,0,3,3,0,0,21,21
00188             007002         X,6191800120556,0,0,3,3,0,0,22,22
00384             004004         X,6191800033207,0,73,-1,-1,0,0,21,21
00384             004004         X,6191800033207,0,46,0,0,0,0,22,22
00415             005004         X,6191800052185,0,2,1,1,0,0,21,21
00415             005004         X,6191800052185,0,0,1,1,0,0,22,22
00188             007003         X,6191800014800,0,1,3,3,0,0,21,21
00188             007003         X,6191800014800,0,1,2,2,0,0,22,22
00340             007012         X,6191800030107,0,13,0,0,0,0,21,21
00340             007012         X,6191800030107,0,13,0,0,0,0,22,22
00415             00500S         X,6191800052093,0,2,1,1,0,0,21,21
00415             00500S         X,6191800052093,0,2,2,2,0,0,22,22
00340             007013         X,6191800030008,0,22,1,1,0,0,21,21
00340             007013         X,6191800030008,0,22,0,0,0,0,22,22
00415             006004         X,6191800052192,0,2,0,0,0,0,21,21
00415             006004         X,6191800052192,0,0,0,0,0,0,22,22
00340             008003         X,6191800029811,0,8,0,0,0,0,21,21
00340             008003         X,6191800029811,0,8,1,1,0,0,22,22
00340             008004         X,6191800030213,0,3,1,1,0,0,21,21
00340             008004         X,6191800030213,0,3,1,1,0,0,22,22
00340             00800W         X,6191800029910,0,1,0,0,0,0,21,21
00340             00800W         X,6191800029910,0,1,0,0,0,0,22,22
00188             007004         X,6191800015043,0,1,6,6,0,0,21,21
00188             007004         X,6191800015043,0,1,2,2,0,0,22,22
00340             008012         X,6191800030114,0,1,0,0,0,0,21,21
00340             008012         X,6191800030114,0,1,0,0,0,0,22,22
00188             007005         X,6191800014886,0,1,6,6,0,0,21,21
00188             007005         X,6191800014886,0,1,2,2,0,0,22,22
00188             00700C         X,6191800014961,0,1,3,3,0,0,21,21
00188             00700C         X,6191800014961,0,1,1,1,0,0,22,22
00340             008013         X,6191800030015,0,3,0,0,0,0,21,21
00340             008013         X,6191800030015,0,3,1,1,0,0,22,22
00188             00700O         X,6191800065338,0,16,0,0,0,0,21,21
00188             00700O         X,6191800065338,0,16,2,2,0,0,22,22
00188             00700Q         X,6191800120631,0,1,2,2,0,0,21,21
00188             00700Q         X,6191800120631,0,1,2,2,0,0,22,22
00188             007015         X,6191800014725,0,1,1,1,0,0,21,21
00188             007015         X,6191800014725,0,1,0,0,0,0,22,22
00188             00702N         X,6191800153172,0,1,4,4,0,0,21,21
00188             00702N         X,6191800153172,0,1,5,5,0,0,22,22
202113            00200Z         X,6190000045188,0,0,0,0,0,0,21,21
202113            00200Z         X,6190000045188,0,0,0,0,0,0,22,22
202113            00300Z         X,6190000045195,0,0,0,0,0,0,21,21
202113            00300Z         X,6190000045195,0,0,0,0,0,0,22,22
561056            002003         X,6000000532383,0,0,2,2,0,0,21,21
561056            002003         X,6000000532383,0,0,3,3,0,0,22,22
211096            00200A         X,6190000008978,0,62,0,0,0,0,21,21
211096            00200A         X,6190000008978,0,46,0,0,0,0,22,22
00147             003003         X,6191800012059,0,0,2,2,0,0,21,21
00147             003003         X,6191800012059,0,0,1,1,0,0,22,22
00384             005004         X,6191800033214,0,63,0,0,0,0,21,21
00384             005004         X,6191800033214,0,46,0,0,0,0,22,22
00384             006004         X,6191800033221,0,1,1,1,0,0,21,21
00384             006004         X,6191800033221,0,1,1,1,0,0,22,22
00415             00600S         X,6191800052109,0,2,0,0,0,0,21,21
00415             00600S         X,6191800052109,0,2,1,1,0,0,22,22
00415             007004         X,6191800052208,0,2,0,0,0,0,21,21
00415             007004         X,6191800052208,0,0,1,1,0,0,22,22
00415             00700S         X,6191800052116,0,36,0,0,0,0,21,21
00415             00700S         X,6191800052116,0,20,0,0,0,0,22,22
00415             008004         X,6191800052215,0,1,0,0,0,0,21,21
00415             008004         X,6191800052215,0,0,0,0,0,0,22,22
561060            002005         X,6000000540623,0,0,0,0,0,0,21,21
561060            002005         X,6000000540623,0,0,1,1,0,0,22,22
202113            00400Z         X,6190000045201,0,0,0,0,0,0,21,21
202113            00400Z         X,6190000045201,0,0,0,0,0,0,22,22
561056            003003         X,6000000532390,0,0,1,1,0,0,21,21
561056            003003         X,6000000532390,0,0,1,1,0,0,22,22
607064            002001         X,6000000536084,0,0,1,1,0,0,21,21
607064            002001         X,6000000536084,0,0,0,0,0,0,22,22
211096            00300A         X,6190000008985,0,50,0,0,0,0,21,21
211096            00300A         X,6190000008985,0,34,0,0,0,0,22,22
00384             007004         X,6191800033238,0,1,0,0,0,0,21,21
00384             007004         X,6191800033238,0,1,0,0,0,0,22,22
00384             008004         X,6191800033245,0,1,0,0,0,0,21,21
00384             008004         X,6191800033245,0,1,1,1,0,0,22,22
00385             002004         X,6191800033276,0,1,1,1,0,0,21,21
00385             002004         X,6191800033276,0,1,6,6,0,0,22,22
00385             003004         X,6191800033283,0,67,1,1,0,0,21,21
00385             003004         X,6191800033283,0,44,1,1,0,0,22,22
00385             004004         X,6191800033290,0,62,-1,-1,0,0,21,21
00385             004004         X,6191800033290,0,44,0,0,0,0,22,22
00385             005004         X,6191800033306,0,50,0,0,0,0,21,21
00385             005004         X,6191800033306,0,34,1,1,0,0,22,22
00385             006004         X,6191800033313,0,5,0,0,0,0,21,21
00385             006004         X,6191800033313,0,1,0,0,0,0,22,22
00385             007004         X,6191800033320,0,1,0,0,0,0,21,21
00385             007004         X,6191800033320,0,1,1,1,0,0,22,22
00385             008004         X,6191800033337,0,1,0,0,0,0,21,21
00385             008004         X,6191800033337,0,1,0,0,0,0,22,22
00390             001003         X,6191800024670,0,48,27,26,0,0,21,21
00390             001003         X,6191800024670,-1,10,18,18,0,0,22,22
00390             001004         X,6191800024717,0,78,35,36,0,0,21,21
00390             001004         X,6191800024717,0,64,34,34,0,0,22,22
00390             001005         X,6191800024694,0,103,47,48,0,0,21,21
00390             001005         X,6191800024694,0,89,43,44,0,0,22,22
00390             002003         X,6191800024687,0,76,61,60,0,0,21,21
00390             002003         X,6191800024687,1,20,43,43,0,0,22,22
00390             002004         X,6191800024724,0,83,124,124,0,0,21,21
00390             002004         X,6191800024724,0,69,70,70,0,0,22,22
00147             004003         X,6191800012066,0,0,1,1,0,0,21,21
00147             004003         X,6191800012066,0,0,2,2,0,0,22,22
00390             002005         X,6191800024700,0,91,108,108,0,0,21,21
00390             002005         X,6191800024700,0,77,54,53,0,0,22,22
00415             00800S         X,6191800052123,0,1,0,0,0,0,21,21
00415             00800S         X,6191800052123,0,1,0,0,0,0,22,22
607113            001001         X,6000000560096,0,1,0,0,0,0,21,21
607113            001001         X,6000000560096,0,1,1,1,0,0,22,22
561056            004003         X,6000000532406,0,0,0,0,0,0,21,21
561056            004003         X,6000000532406,0,0,1,1,0,0,22,22
561060            003005         X,6000000540630,0,0,0,0,0,0,21,21
561060            003005         X,6000000540630,0,0,2,2,0,0,22,22
211096            00400A         X,6190000008992,0,62,0,0,0,0,21,21
211096            00400A         X,6190000008992,0,46,0,0,0,0,22,22
211096            00500A         X,6190000009005,0,1,1,1,0,0,21,21
211096            00500A         X,6190000009005,0,1,0,0,0,0,22,22
202113            00500Z         X,6190000045218,0,0,0,0,0,0,21,21
202113            00500Z         X,6190000045218,0,0,0,0,0,0,22,22
607064            002002         X,6000000536091,0,0,2,2,0,0,21,21
607064            002002         X,6000000536091,0,0,2,2,0,0,22,22
00147             005003         X,6191800012073,0,0,1,1,0,0,21,21
00147             005003         X,6191800012073,0,0,0,0,0,0,22,22
607113            002001         X,6000000560102,0,2,2,2,0,0,21,21
607113            002001         X,6000000560102,0,2,0,0,0,0,22,22
607141            001001         X,6191800055629,0,0,0,0,0,0,21,21
607141            001001         X,6191800055629,0,0,4,4,0,0,22,22
561060            004005         X,6000000540647,0,0,0,0,0,0,21,21
561060            004005         X,6000000540647,0,0,3,3,0,0,22,22
202113            00600Z         X,6190000045225,0,0,0,0,0,0,21,21
202113            00600Z         X,6190000045225,0,0,0,0,0,0,22,22
00147             006003         X,6191800012080,0,0,1,1,0,0,21,21
607064            003001         X,6000000536107,0,0,1,0,0,0,21,21
607064            003001         X,6000000536107,0,0,1,1,0,0,22,22
561056            005003         X,6000000532413,0,0,1,1,0,0,21,21
561056            005003         X,6000000532413,0,0,4,4,0,0,22,22
561060            005005         X,6000000540654,0,0,1,1,0,0,21,21
561060            005005         X,6000000540654,0,0,1,1,0,0,22,22
00147             006003         X,6191800012080,0,0,0,0,0,0,22,22
00147             007003         X,6191800012097,0,0,0,0,0,0,21,21
00147             007003         X,6191800012097,0,0,0,0,0,0,22,22
607113            003001         X,6000000560119,0,41,0,0,0,0,21,21
607113            003001         X,6000000560119,0,25,0,0,0,0,22,22
607141            00100M         X,6191800055537,0,0,1,1,0,0,21,21
607141            00100M         X,6191800055537,0,0,1,1,0,0,22,22
202113            00700Z         X,6190000045232,0,0,0,0,0,0,21,21
202113            00700Z         X,6190000045232,0,0,0,0,0,0,22,22
607064            003002         X,6000000536114,0,0,2,2,0,0,21,21
607064            003002         X,6000000536114,0,0,0,0,0,0,22,22
561056            006003         X,6000000532420,0,0,1,1,0,0,21,21
561056            006003         X,6000000532420,0,0,3,3,0,0,22,22
561058            002003         X,6000000540500,0,0,0,0,0,0,21,21
561058            002003         X,6000000540500,0,0,1,1,0,0,22,22
607141            002001         X,6191800055636,0,0,1,1,0,0,21,21
607141            002001         X,6191800055636,0,0,4,4,0,0,22,22
561058            003003         X,6000000540517,0,0,0,0,0,0,21,21
561058            003003         X,6000000540517,0,0,0,0,0,0,22,22
561058            004003         X,6000000540524,0,0,2,2,0,0,21,21
561058            004003         X,6000000540524,0,0,0,0,0,0,22,22
561058            005003         X,6000000540531,0,0,0,0,0,0,21,21
561058            005003         X,6000000540531,0,0,2,2,0,0,22,22
211097            00100A         X,6190000009036,0,44,0,0,0,0,21,21
211097            00100A         X,6190000009036,0,28,0,0,0,0,22,22
211097            00200A         X,6190000009043,0,46,0,0,0,0,21,21
211097            00200A         X,6190000009043,0,30,0,0,0,0,22,22
00147             008003         X,6191800012103,0,0,0,0,0,0,21,21
00147             008003         X,6191800012103,0,0,0,0,0,0,22,22
607113            004001         X,6000000560126,0,14,0,0,0,0,21,21
607113            004001         X,6000000560126,0,2,3,3,0,0,22,22
607150            001001         X,6190000027467,0,0,0,0,0,0,21,21
607150            001001         X,6190000027467,0,0,1,1,0,0,22,22
561058            006003         X,6000000540548,0,0,2,2,0,0,21,21
561058            006003         X,6000000540548,0,0,1,1,0,0,22,22
561060            006005         X,6000000540661,0,0,1,1,0,0,21,21
